what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"en_US",1767891176191
processors,sysinfo,,,"12",1767891176191
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1767891176191
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1767891176191
java.specification.name,sysinfo,,,"Java Platform API Specification",1767891176191
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1767891176191
java.specification.version,sysinfo,,,"1.6",1767891176191
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1767891176191
java.version,sysinfo,,,"1.6.0_23",1767891176191
java.vm.info,sysinfo,,,"mixed mode",1767891176191
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1767891176191
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1767891176191
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1767891176191
java.vm.specification.version,sysinfo,,,"1.0",1767891176191
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1767891176191
java.vm.version,sysinfo,,,"19.0-b09",1767891176191
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767891179258
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1767891181154
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1767891181174
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767891185010
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891185037
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1767891185110
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1767891185113
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1767891185113
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1767891185114
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891187248
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891201947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891204343
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1767891213202
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1767891213204
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1767891216235
started,bundle,com.altera.sbt4e.launch,13.1.0.162,"com.altera.sbt4e.launch",1767891216236
started,bundle,com.altera.debug.cdi.gdb.plugin,13.1.0.162,"com.altera.debug.cdi.gdb.plugin",1767891216785
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891216912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891243655
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1767891243671
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767891257491
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891259507
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891265505
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767891265518
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891267790
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891271254
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891271600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891275729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891292306
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891294366
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767891295183
opened,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767891297740
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1767891297971
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1767891297979
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891315726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891331335
executed,command,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1767891331356
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767891333772
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767891334118
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767891339263
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1767891358178
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891364753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891366732
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891380512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1767891382233
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1767891382795
activated,view,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1767891384940
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1767891385180
